gene	transcript	chr	strand	txStart	txStop	cdsStart	cdsStop	exonCount	exonStarts	exonStops	start	stop	score
LOC102725121	NR_148357	chr1	+	11868	14362	14362	14362	3	11868,12612,13220,	12227,12721,14362,	11868	14362	1000
MIR6859-1	NR_106918	chr1	-	17368	17436	17436	17436	1	17368,	17436,	17368	17436	1000
MIR6859-2	NR_107062	chr1	-	17368	17436	17436	17436	1	17368,	17436,	17368	17436	1000
MIR6859-3	NR_107063	chr1	-	17368	17436	17436	17436	1	17368,	17436,	17368	17436	1000
MIR6859-4	NR_128720	chr1	-	17368	17436	17436	17436	1	17368,	17436,	17368	17436	1000
MIR1302-2	NR_036051	chr1	+	30365	30503	30503	30503	1	30365,	30503,	30365	30503	1000
MIR1302-9	NR_036266	chr1	+	30365	30503	30503	30503	1	30365,	30503,	30365	30503	1000
MIR1302-10	NR_036267	chr1	+	30365	30503	30503	30503	1	30365,	30503,	30365	30503	1000
MIR1302-11	NR_036268	chr1	+	30365	30503	30503	30503	1	30365,	30503,	30365	30503	1000
FAM138A	NR_026818	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	34610	36081	1000
FAM138F	NR_026820	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	34610	36081	1000
LOC100132287	NR_028322	chr1	+	323891	328581	328581	328581	3	323891,324287,324438,	324060,324345,328581,	323891	328581	1000
LOC100132062	NR_028325	chr1	+	323891	328581	328581	328581	3	323891,324287,324438,	324060,324345,328581,	323891	328581	1000
LOC100133331	NR_028327	chr1	+	323891	328581	328581	328581	4	323891,324287,324438,327035,	324060,324345,326938,328581,	323891	328581	1000
LOC100133331	NR_028327	chr1	-	661138	665731	665731	665731	3	661138,665277,665562,	665184,665335,665731,	661138	665731	1000
RNU6-2	NR_125730	chr1	+	10359023	10359128	10359128	10359128	1	10359023,	10359128,	10359023	10359128	1000
SNORA59B	NR_003022	chr1	+	12567299	12567451	12567451	12567451	1	12567299,	12567451,	12567299	12567451	1000
SNORA59A	NR_003025	chr1	+	12567299	12567451	12567451	12567451	1	12567299,	12567451,	12567299	12567451	1000
MIR6730	NR_106788	chr1	-	12638984	12639051	12639051	12639051	1	12638984,	12639051,	12638984	12639051	1000
PRAMEF36P	NR_111945	chr1	-	13161985	13167193	13167193	13167193	4	13161985,13164184,13165156,13167115,	13163233,13164760,13165468,13167193,	13161985	13167193	1000
PRAMEF34P	NR_111947	chr1	-	13161985	13167193	13167193	13167193	4	13161985,13164184,13165156,13167115,	13163233,13164760,13165468,13167193,	13161985	13167193	1000
PRAMEF36P	NR_111945	chr1	+	13194517	13199727	13199727	13199727	4	13194517,13196244,13196952,13198478,	13194595,13196556,13197528,13199727,	13194517	13199727	1000
PRAMEF34P	NR_111947	chr1	+	13194517	13199727	13199727	13199727	4	13194517,13196244,13196952,13198478,	13194595,13196556,13197528,13199727,	13194517	13199727	1000
LOC440570	NR_135765	chr1	-	16860336	16863483	16863483	16863483	2	16860336,16861284,	16860704,16863483,	16860336	16863483	1000
MIR3675	NR_037446	chr1	+	16875408	16875482	16875482	16875482	1	16875408,	16875482,	16875408	16875482	1000
MIR3675	NR_037446	chr1	+	17007749	17007823	17007823	17007823	1	17007749,	17007823,	17007749	17007823	1000
MIR3675	NR_037446	chr1	-	17185443	17185516	17185516	17185516	1	17185443,	17185516,	17185443	17185516	1000
LOC440570	NR_135765	chr1	+	17197439	17200587	17200587	17200587	2	17197439,17200217,	17199638,17200587,	17197439	17200587	1000
MAGEA2	NM_001282505	chrX	+	151883074	151887096	151885595	151886540	2	151883074,151885530,	151883171,151887096,	151883074	151887096	1000
RBMY1A1	NM_001320945	chrY	+	23696764	23711212	23704605	23710934	11	23696764,23698773,23699360,23704576,23706739,23707809,23708361,23708906,23709938,23710135,23710635,	23696912,23698886,23699464,23704729,23706854,23707920,23708472,23709017,23710049,23710224,23711212,	23696764	23711212	1000
MAGED4	NM_001098800	chrX	+	51927918	51935366	51929018	51934961	13	51927918,51929017,51929492,51930737,51931044,51931301,51931769,51932482,51932647,51933081,51934089,51934526,51935152,	51928061,51929228,51930326,51930941,51931108,51931381,51931861,51932562,51932690,51933144,51934204,51934969,51935366,	51927918	51935366	1000
GSTT2	NM_001302670	chr22	+	24322218	24326106	24322388	24325797	5	24322218,24323138,24324818,24325061,24325587,	24322500,24323226,24324969,24325193,24326106,	24322218	24326106	1000
UGT2B10	NM_001144767	chr4	+	69681710	69697735	69681737	69696597	6	69681710,69683746,69687988,69692127,69693046,69696317,	69682203,69683895,69688120,69692215,69693266,69697735,	69681710	69697735	1000
GTPBP6	NM_012227	chrY	-	171416	180887	171740	180887	6	171416,174026,174398,178085,179432,180816,	171864,174179,174547,178294,179591,180887,	171416	180887	1000
MAGED4B	NM_001242362	chrX	+	51927918	51935364	51929018	51935162	14	51927918,51928966,51929492,51930737,51931044,51931301,51931769,51932482,51932647,51933081,51933440,51934089,51934526,51935152,	51928061,51929228,51930326,51930941,51931108,51931381,51931861,51932562,51932690,51933144,51933488,51934204,51934957,51935364,	51927918	51935364	1000
MAGED4B	NM_001242362	chrX	-	51804922	51812368	51805124	51811268	14	51804922,51805329,51806082,51806798,51807142,51807596,51807724,51808425,51808905,51809178,51809345,51809960,51811058,51812225,	51805134,51805760,51806197,51806846,51807205,51807639,51807804,51808517,51808985,51809242,51809549,51810794,51811320,51812368,	51804922	51812368	1000
UGT2B10	NM_001290091	chr4	-	69870294	69886115	69870573	69884079	7	69870294,69874574,69875633,69879740,69883955,69885926,69886076,	69870853,69874794,69875721,69879871,69884105,69886057,69886115,	69870294	69886115	1000
RBMY1F	NM_001303410	chrY	-	24314688	24329089	24315192	24327116	12	24314688,24315681,24315851,24316885,24317430,24317981,24319047,24321172,24323240,24326437,24327007,24328981,	24315265,24315765,24315962,24316996,24317541,24318092,24319162,24321325,24323418,24326541,24327120,24329089,	24314688	24329089	1000
RBMY1F	NM_001303410	chrY	+	24455009	24564028	24551594	24563524	12	24455009,24551590,24552171,24555298,24557391,24559554,24560624,24561175,24561720,24562754,24562951,24563451,	24455117,24551703,24552275,24555476,24557544,24559669,24560735,24561286,24561831,24562865,24563035,24564028,	24455009	24564028	1000
AKAP17A	NM_005088	chrY	+	1660485	1671411	1662355	1670487	5	1660485,1662336,1664276,1668084,1669551,	1660662,1663117,1664425,1668325,1671411,	1660485	1671411	1000
VCY1B	NM_181880	chrY	+	16168101	16168838	16168169	16168739	2	16168101,16168463,	16168271,16168838,	16168101	16168838	1000
NPIPA8	NM_001282511	chr16	-	18411775	18426519	18411824	18426519	8	18411775,18413651,18413796,18414873,18417947,18418255,18421970,18426456,	18412292,18413687,18413857,18414981,18418092,18418355,18422099,18426519,	18411775	18426519	1000
MIR5095	NR_039970	chr1	+	53400601	53400689	53400689	53400689	1	53400601,	53400689,	53400601	53400689	1000
MAGEA2	NM_001282502	chrX	+	151883074	151887096	151885595	151886540	4	151883074,151884445,151885384,151885530,	151883171,151884565,151885450,151887096,	151883074	151887096	1000
MAGEA2	NM_001282502	chrX	-	151918386	151922408	151918942	151919887	4	151918386,151920032,151920917,151922311,	151919952,151920098,151921037,151922408,	151918386	151922408	1000
MAGEA2	NM_001282501	chrX	+	151883074	151887096	151885595	151886540	5	151883074,151884445,151885136,151885384,151885530,	151883171,151884565,151885234,151885450,151887096,	151883074	151887096	1000
MAGEA2	NM_001282501	chrX	-	151918386	151922408	151918942	151919887	5	151918386,151920032,151920248,151920917,151922311,	151919952,151920098,151920346,151921037,151922408,	151918386	151922408	1000
RBMY1F	NM_152585	chrY	-	24314688	24329089	24314966	24327116	12	24314688,24315676,24315851,24316885,24317430,24317981,24319047,24321172,24323240,24326437,24327007,24328981,	24315265,24315765,24315962,24316996,24317541,24318092,24319162,24321325,24323418,24326541,24327120,24329089,	24314688	24329089	1000
RBMY1F	NM_152585	chrY	+	24455009	24564028	24551594	24563750	12	24455009,24551590,24552171,24555298,24557391,24559554,24560624,24561175,24561720,24562754,24562951,24563451,	24455117,24551703,24552275,24555476,24557544,24559669,24560735,24561286,24561831,24562865,24563040,24564028,	24455009	24564028	1000
VAMP7	NM_005638	chrX	+	155110942	155173433	155119129	155171615	8	155110942,155119120,155125285,155127775,155130160,155149476,155169364,155171546,	155111111,155119275,155125343,155127913,155130251,155149544,155169457,155173433,	155110942	155173433	1000
VAMP7	NM_005638	chrY	+	59213948	59276439	59222135	59274621	8	59213948,59222126,59228291,59230781,59233166,59252482,59272370,59274552,	59214117,59222281,59228349,59230919,59233257,59252550,59272463,59276439,	59213948	59276439	1000
FAM72C	NR_144349	chr1	-	143896524	143914673	143914673	143914673	4	143896524,143906011,143910077,143914521,	143897641,143906136,143910155,143914673,	143896524	143914673	1000
LINC00623	NR_024510	chr1	-	144298163	144340759	144340759	144340759	2	144298163,144340525,	144301536,144340759,	144298163	144340759	1000
LINC00623	NR_024511	chr1	-	144298163	144340759	144340759	144340759	3	144298163,144301189,144340525,	144300755,144301536,144340759,	144298163	144340759	1000
LINC00623	NR_109754	chr1	-	144298163	144340759	144340759	144340759	3	144298163,144301349,144340525,	144300755,144301536,144340759,	144298163	144340759	1000
LINC00623	NR_024584	chr1	-	144298163	144341756	144341756	144341756	4	144298163,144301189,144340525,144341669,	144300755,144301536,144340623,144341756,	144298163	144341756	1000
LINC00869	NR_111951	chr1	-	144300467	144341077	144341077	144341077	4	144300467,144301189,144340525,144340770,	144300755,144301536,144340761,144341077,	144300467	144341077	1000
LINC00869	NR_111952	chr1	-	144300467	144341077	144341077	144341077	3	144300467,144340525,144340770,	144301536,144340761,144341077,	144300467	144341077	1000
LINC00869	NR_111953	chr1	-	144300467	144341077	144341077	144341077	4	144300467,144301349,144340525,144340770,	144300752,144301536,144340761,144341077,	144300467	144341077	1000
NBPF9	NM_001037675	chr1	+	144614958	144830407	144615130	144828784	22	144614958,144615095,144615246,144617149,144618081,144619346,144619882,144621446,144813741,144814679,144815935,144816472,144817965,144821920,144823127,144823812,144824704,144825352,144826234,144826932,144827819,144828540,	144614998,144615246,144615303,144617252,144618296,144619419,144620094,144621656,144813844,144814894,144816008,144816678,144818017,144822084,144823179,144823985,144824756,144825525,144826286,144827105,144827928,144830407,	144614958	144830407	1000
NBPF9	NM_001277444	chr1	+	144614958	145370304	144615130	145368684	26	144614958,144615095,144615246,144617149,144618081,144619346,144619882,144621446,144813741,144814679,144815935,144816472,144817965,144821920,144823127,144823812,144824704,144825352,144826234,144826932,144827819,145313333,145314215,145314903,145315790,145368440,	144614998,144615246,144615303,144617252,144618296,144619419,144620094,144621656,144813844,144814894,144816008,144816678,144818017,144822084,144823179,144823985,144824756,144825525,144826286,144827105,144827928,145313506,145314267,145315076,145315899,145370304,	144614958	145370304	1000
NBPF25P	NR_104217	chr1	+	145289769	145370303	145370303	145370303	18	145289769,145290428,145293370,145301719,145302648,145303909,145304446,145305944,145309899,145311102,145316511,145317405,145318053,145318935,145319623,145320510,145368440,145369717,	145289906,145290511,145293580,145301817,145302868,145303982,145304652,145305996,145310063,145311154,145316684,145317457,145318226,145318987,145319796,145320619,145369446,145370303,	145289769	145370303	1000
NBPF25P	NR_104217	chr1	+	145827204	146467743	146467743	146467743	18	145827204,145833024,146395304,146403654,146404583,146412135,146412672,146414167,146418137,146419343,146420018,146462010,146462657,146463539,146464263,146465150,146465877,146467154,	145827242,145833118,146395516,146403752,146404803,146412208,146412878,146414219,146418301,146419395,146420191,146462062,146462830,146463591,146464436,146465259,146466883,146467743,	145827204	146467743	1000
RNVU1-19	NR_104086	chr1	+	147994145	147994313	147994313	147994313	1	147994145,	147994313,	147994145	147994313	1000
NBPF9	NM_001277444	chr1	-	148250248	148346929	148251874	148346756	25	148250248,148257493,148258316,148259143,148259904,148267017,148267840,148268675,148269436,148270217,148270988,148329029,148330123,148334194,148335534,148336204,148337317,148338366,148340237,148341794,148342469,148343593,148344639,148346581,148346888,	148252118,148257602,148258489,148259195,148260077,148267126,148268013,148268727,148269609,148270269,148271161,148329081,148330287,148334246,148335740,148336277,148337532,148338469,148340447,148342006,148342542,148343808,148344742,148346791,148346929,	148250248	148346929	1000
NBPF25P	NR_104217	chr1	-	148250249	149109725	149109725	149109725	18	148250249,148251112,148252729,148253552,148254379,148255140,148255921,148256692,148329029,148330123,148334194,148335534,148336204,148337317,148338371,148346581,149108982,149109594,	148250841,148252118,148252838,148253725,148254431,148255313,148255973,148256865,148329081,148330287,148334246,148335740,148336277,148337537,148338469,148346793,149109063,149109725,	148250249	149109725	1000
RNVU1-19	NR_104086	chr1	-	149514089	149514256	149514256	149514256	1	149514089,	149514256,	149514089	149514256	1000
LINC00623	NR_024584	chr1	+	149575481	149619134	149619134	149619134	4	149575481,149576602,149615764,149616545,	149575568,149576700,149616111,149619134,	149575481	149619134	1000
LINC00869	NR_111950	chr1	+	149576160	149651107	149651107	149651107	9	149576160,149615764,149627308,149632455,149632903,149636122,149636683,149640789,149646917,	149576700,149616230,149627518,149632691,149633021,149636247,149636735,149640911,149651107,	149576160	149651107	1000
LINC00623	NR_024510	chr1	+	149576466	149619134	149619134	149619134	2	149576466,149615764,	149576700,149619134,	149576466	149619134	1000
LINC00623	NR_024511	chr1	+	149576466	149619134	149619134	149619134	3	149576466,149615764,149616545,	149576700,149616111,149619134,	149576466	149619134	1000
LINC00623	NR_109754	chr1	+	149576466	149619134	149619134	149619134	3	149576466,149615764,149616545,	149576700,149615951,149619134,	149576466	149619134	1000
MAGEA2B	NM_153488	chrX	+	151883074	151887096	151885595	151886540	3	151883074,151885384,151885530,	151883171,151885450,151887096,	151883074	151887096	1000
MAGEA2B	NM_153488	chrX	-	151918386	151922408	151918942	151919887	3	151918386,151920032,151922311,	151919952,151920098,151922408,	151918386	151922408	1000
SSX2	NM_175698	chrX	+	52780279	52790617	52781757	52789521	8	52780279,52781737,52782264,52782914,52784876,52786930,52789420,52789990,	52780395,52781826,52782379,52783010,52784926,52787066,52789525,52790617,	52780279	52790617	1000
CDY1	NM_004680	chrY	+	27768263	27771048	27768589	27770674	2	27768263,27770601,	27770181,27771048,	27768263	27771048	1000
VCY	NM_004679	chrY	-	16097651	16098392	16097750	16098320	2	16097651,16098218,	16098026,16098392,	16097651	16098392	1000
ZBED1	NM_004729	chrY	-	2354454	2369008	2356675	2358760	2	2354454,2368857,	2358810,2369008,	2354454	2369008	1000
ASMTL	NM_004192	chrX	-	1522031	1571870	1522161	1571733	13	1522031,1531624,1536865,1537874,1540550,1544417,1546626,1551161,1553914,1554586,1557989,1561078,1571640,	1522382,1531747,1537009,1538007,1540735,1544580,1547014,1551270,1553976,1554651,1558037,1561210,1571870,	1522031	1571870	1000
F8A1	NM_012151	chrX	+	154114634	154116336	154114649	154115765	1	154114634,	154116336,	154114634	154116336	1000
F8A1	NM_012151	chrX	+	154611748	154613450	154611763	154612879	1	154611748,	154613450,	154611748	154613450	1000
F8A1	NM_012151	chrX	-	154686574	154688276	154687145	154688261	1	154686574,	154688276,	154686574	154688276	1000
MIR4426	NR_039624	chr1	+	192685457	192685520	192685520	192685520	1	192685457,	192685520,	192685457	192685520	1000
DEFB104A	NM_080389	chr8	-	7327829	7332604	7327877	7332590	2	7327829,7332532,	7328038,7332604,	7327829	7332604	1000
DEFB104A	NM_080389	chr8	+	7693992	7698764	7694006	7698716	2	7693992,7698555,	7694064,7698764,	7693992	7698764	1000
MIR548F3	NR_031644	chr1	+	218610974	219281452	219281452	219281452	7	218610974,218611034,218762454,218857074,218960464,218980521,219281428,	218610990,218611039,218762464,218857086,218960475,218980529,219281452,	218610974	219281452	1000
TBC1D3I	NM_001291463	chr17	-	36337710	36348609	36338025	36347081	14	36337710,36339575,36340098,36340661,36341111,36341919,36342583,36343885,36344324,36344875,36345438,36346761,36347009,36348510,	36338594,36339728,36340198,36340727,36341206,36342040,36342632,36343995,36344432,36344956,36345478,36346847,36347082,36348609,	36337710	36348609	1000
MIR7641-2	NR_106988	chr1	-	228746044	228746094	228746094	228746094	1	228746044,	228746094,	228746044	228746094	1000
